word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
aargh,ɑ:,, 啊 ,,,,,18154,0,,,
aaron,'eәrәn,n. United States professional baseball player who hit more home runs than Babe Ruth (born in 1934)\nn. (Old Testament) elder brother of Moses and first high priest of the Israelites; created the golden calf,"n. 亚伦（男子名）；[圣经]亚伦（摩西之兄, 犹太教的第一祭司长）",,,,,12804,0,,,
Ababa,,,n. (Ababa)人名；(塞)阿巴巴,,,,,17876,0,,,
aback,ә'bæk,r. having the wind against the forward side of the sails\nr. by surprise,"adv. 向后, 朝后, 突然, 船顶风地",,1,,,11826,12786,,,
abase,ә'beis,v cause to feel shame; hurt the pride of,"vt. 降低...的地位, 降低...的品格, 贬抑, 使谦卑",,,,gre,41733,41704,i:abasing/p:abased/3:abases/d:abased,,
abash,ә'bæʃ,v cause to be embarrassed; cause to feel self-conscious,"vt. 使不安, 使羞愧, 使困窘",,,,gre,48446,41079,d:abashed/i:abashing/p:abashed/3:abashes,,
abate,ә'beit,v. become less in amount or intensity,"vt. 减少, 减轻, 减弱, 废除, 打折扣\nvi. 减轻, 减弱, 减少, 失效, 被废除",,1,,toefl gre,13783,13243,d:abated/i:abating/p:abated/3:abates,,
abaya,ә'beijә,n. (Arabic) a loose black robe from head to toe; traditionally worn by Muslim women,"n. 毛织物, (阿拉伯式)长袍",,,,,0,37347,s:abayas,,
Abbas,,,"n. 阿巴斯（地名, 伊朗最大港口）；阿巴斯王朝",,,,,25818,0,,,
abbey,'æbi,n. a church associated with a monastery or convent\nn. a convent ruled by an abbess\nn. a monastery ruled by an abbot,n. 大修道院,,2,,,3572,17783,s:abbeys,,
abbot,'æbәt,n. the superior of an abbey of monks,"n. 男修道院院长, 大寺院男住持",,,,,9276,21439,s:abbots,,
Abdel,,,n. (Abdel)人名；(阿拉伯、哈萨、塔吉、吉尔、乌兹、阿塞、土库、乍、塞)阿卜杜勒,,,,,29282,0,,,
abdul,,,n. 阿卜杜勒（人名）,,,,,13220,0,,,
